#{"t_start": 1757679027.0682552, "env_id": "None"}
r,l,t
-0.0844,65,1.393934
-58.784078,74,1.862814
-155.616004,89,2.456522
-182.059287,249,3.976892
-156.758908,191,5.18273
-38.270698,147,6.08532
-511.372702,291,7.953152
-523.414338,220,9.354496
-95.534262,61,9.762948
-92.697914,59,10.131559
-227.02021,296,12.005388
-78.555455,191,13.236123
-81.43684,163,14.255502
41.382645,76,14.704106
-113.62868,62,15.094382
-63.450788,180,16.211671
97.608231,80,16.723826
-114.829495,58,17.109595
-65.145251,184,18.242578
-64.50197,201,19.544441
-119.316249,56,19.912241
-75.40377,69,20.368041
-99.535668,42,20.637362
-119.956294,154,21.643192
-73.134399,142,22.613346
-77.915414,67,23.076195
-146.346673,74,23.556743
-46.959784,56,23.930506
64.948717,125,24.734668
-90.885981,57,25.089107
71.172441,107,25.764758
-95.142894,66,26.220388
-47.722322,168,27.288914
-258.511609,269,29.002461
-119.719193,64,29.43294
-82.350132,47,29.729172
-204.019922,295,31.599204
-0.617058,94,32.187159
-67.937537,112,49.966618
-96.005642,127,50.787773
-119.093003,41,51.046905
-182.040293,283,52.832057
-99.292665,45,53.124979
-136.091153,60,53.509193
-97.995592,56,53.885077
-149.500826,65,54.323255
-110.150227,37,54.560401
-112.454532,42,54.848828
-116.062597,44,55.151213
-80.180601,131,56.030439
-118.194827,85,56.572855
-93.644274,45,56.83558
-89.720457,42,57.091033
-109.128694,57,57.437788
-98.486241,45,57.729479
-90.919636,36,57.957809
-95.621961,52,58.285169
-104.214585,44,58.543954
-116.699058,42,58.821747
-85.986273,115,59.538217
-102.613846,43,59.802954
-90.293423,43,60.077735
-100.218514,67,60.504524
-98.557242,66,60.928411
-92.397393,42,61.161751
-75.421462,54,61.474278
-96.520342,73,61.90149
-627.877735,291,63.770445
-84.368719,44,64.04446
-104.270608,37,64.264075
-102.236944,68,64.681485
-73.790272,54,65.030557
-79.889073,60,65.455255
-54.044189,116,66.211391
-94.242378,57,66.567224
-109.921048,60,66.977033
-88.99353,59,67.34985
-117.434564,58,67.715845
-104.792187,41,68.01082
-130.610293,55,68.38328
-127.61666,46,68.680299
-98.873912,44,68.97724
-101.207193,43,69.267105
-105.290218,60,69.653362
-141.540936,45,69.924542
-99.202521,66,70.347672
-93.470223,113,71.037726
-117.174733,190,72.239152
-102.373087,40,72.503466
-99.690156,49,72.819716
-120.656611,88,73.377769
-115.867447,38,73.645681
-100.20427,37,73.898125
-86.541688,67,74.341355
-97.912136,44,74.626542
-84.593873,62,75.012249
-109.10822,47,75.290795
-73.513206,46,75.600649
15.618107,129,76.455574
-96.778373,43,76.749661
-249.429237,317,78.783088
-82.913193,54,79.145025
-101.170291,70,79.609972
-122.338932,51,79.935817
-120.77262,79,80.454439
-61.296528,157,81.472272
-93.640006,41,81.722266
-9.910229,52,83.372656
-86.481936,44,83.761679
-82.137621,117,84.487292
-181.393442,106,85.13651
-16.494642,116,85.826961
-119.355175,142,86.659081
-762.014208,507,89.719328
-226.612933,94,90.301921
-117.469381,30,90.490589
-218.771653,106,91.130508
-147.73094,41,91.391762
-286.416401,145,92.293971
-629.528812,322,94.314739
-164.768227,64,94.691479
-312.083205,809,99.673911
-123.0808,82,100.227531
-115.374277,70,100.667444
85.231864,78,101.17837
-339.489121,197,102.479378
121.442898,335,104.658759
-98.520856,80,105.198856
-68.041032,178,106.335374
-151.674514,48,106.6471
58.68286,39,106.88326
-149.353571,64,107.305464
-145.005696,45,107.617441
-105.611614,70,108.05335
-37.189297,57,108.433863
-77.474797,117,109.155595
76.868447,74,109.620132
-665.831768,542,113.03898
-170.796168,60,113.441665
-3.244135,221,126.026893
-98.26278,115,126.821492
-95.876885,41,127.093448
-117.569157,35,127.316139
-113.651964,35,127.557157
-157.691376,40,127.81618
-151.797375,60,128.220428
-118.100642,39,128.461383
-134.34937,42,128.71245
-125.509536,36,128.944216
-117.371878,37,129.210634
-127.974809,69,129.671679
-95.148436,37,129.915105
-106.908894,34,130.149172
-180.454302,222,131.567836
-113.139432,37,131.797794
-127.072885,35,132.009878
-142.023406,36,132.227119
-132.380178,33,132.438942
-87.579643,64,132.824789
-123.797684,36,133.060746
-110.786221,46,133.362952
-584.419017,289,135.167854
-105.947214,36,135.367687
-175.848588,39,135.601068
-135.14601,36,135.853672
-103.982269,234,137.274669
68.357995,111,137.933135
-854.219393,465,140.720329
-116.269028,329,142.797484
-116.072042,34,143.009255
-108.095964,48,143.331514
-162.521069,37,143.572153
-150.006624,74,144.029927
-103.457306,80,144.520154
-125.198197,36,144.761268
-129.81954,75,145.228585
-104.130812,35,145.456606
-108.500242,31,145.634057
-118.731885,35,145.84756
22.040977,89,146.403163
-72.235696,36,146.64048
-150.547977,36,146.880835
-48.604858,570,150.263398
-41.606232,138,151.072085
-130.158736,57,151.422047
-94.79692,35,151.633981
-106.987363,35,151.833471
-221.235781,321,153.799119
-117.62163,39,154.033144
-109.396813,33,154.253804
-106.026104,235,155.711357
-96.881488,34,155.931843
-131.213372,66,156.379696
70.928954,123,157.713884
-63.757915,85,158.211658
-86.044036,46,158.494578
-167.470084,351,160.524648
-12.548892,202,161.673999
55.235339,99,162.250836
-81.772981,59,162.58151
-46.841062,176,163.693683
-58.584685,85,164.224544
-141.674241,82,164.744426
-104.931521,82,165.292713
-44.865829,139,166.174165
-118.013194,75,166.588808
-113.464717,69,166.951884
72.505914,191,168.125744
-96.411378,66,168.517568
-101.77484,64,168.883389
-124.989309,119,169.573718
-83.642997,168,170.534382
-62.509052,127,171.273551
-44.728531,323,173.121451
-32.554619,218,174.494346
-100.43071,75,174.955479
-116.481366,62,175.3513
-85.072798,110,176.023578
-71.459408,65,176.431733
-337.008286,229,177.813416
-81.852228,59,178.194132
-89.308641,58,178.553976
-109.412564,81,179.04546
-132.829626,133,179.808819
-102.063984,75,180.260037
-61.60304,156,181.153361
-78.193766,123,181.873683
-125.080774,46,182.146971
-118.111441,49,182.442419
-4.202942,162,183.381238
