#{"t_start": 1749294896.2605057, "env_id": "None"}
r,l,t
-131.339082,45,0.808341
-258.873149,56,0.891848
-136.003371,30,1.216924
-145.014295,44,1.533618
-96.139856,20,1.694874
-89.98923,19,1.838798
-97.835274,28,2.062457
-176.98272,67,2.589293
-96.705539,25,2.77286
-139.49826,40,3.079192
-97.346031,35,3.33923
-116.497549,25,3.527205
-164.336823,46,3.869787
-180.982792,54,4.266323
-116.919742,26,4.454124
-137.613329,30,4.693072
-120.908161,23,4.88045
-154.391817,35,5.163991
-231.598576,61,5.61803
-110.575566,28,5.82663
-122.747555,40,6.12613
-91.467711,24,6.31019
-168.155044,38,6.582391
-128.535107,38,6.880125
-134.452666,35,7.164202
-113.702762,26,7.358586
-285.319092,71,7.895294
-148.442389,48,8.258418
-110.133117,28,8.478251
-260.203783,62,8.956043
-101.415788,66,9.464583
-122.218501,36,9.737694
-175.413478,46,10.090829
-129.902283,32,10.330848
-182.420417,59,10.787311
-186.829105,58,11.235358
-142.958313,40,11.536976
-124.835507,27,11.759679
-105.185738,37,12.053444
-120.729465,32,12.316371
-132.939623,57,12.767864
-122.165333,32,13.016415
-131.490455,47,13.377012
-120.321773,41,13.702992
-97.390688,30,13.944122
-141.180687,61,14.415415
-108.749004,31,14.653977
-113.559576,59,15.097951
-119.817502,41,15.44431
-109.4936,56,15.862147
-136.991066,41,16.173375
-152.829384,59,16.625934
-115.897084,58,17.074
-139.628803,32,17.32567
-104.416713,37,17.601644
-151.172724,69,18.140024
-102.972412,34,18.403285
-118.172964,59,18.842793
-100.858834,37,19.111897
-112.112636,37,19.38588
-100.466589,38,19.675732
-130.540096,57,20.118955
-237.174358,114,21.021224
-123.09207,47,21.38867
-87.90093,39,21.693758
-103.268074,43,22.008885
-145.305323,49,22.374894
-61.735962,32,22.613084
-131.949266,38,22.905352
-139.234831,35,23.183887
-93.023038,30,23.412385
-135.001923,51,23.803639
-114.602329,40,24.105887
-148.139574,64,24.574186
-114.211405,44,24.911456
-124.579096,61,25.376979
-139.128009,69,25.903559
-84.760582,30,26.135173
-109.758246,51,26.504467
-126.819838,60,26.961462
-109.136621,46,27.319588
-179.718836,89,27.989455
-224.386311,82,28.707758
-89.347534,35,29.025696
-152.320528,81,29.750905
-93.648371,62,30.310341
-86.745,69,30.922299
-110.292655,32,31.213178
-153.810996,64,31.800584
-119.805675,61,32.354764
-106.123575,61,32.912099
-114.137488,36,33.237522
-144.218741,41,33.606647
-99.939208,53,34.090298
-67.224609,38,34.445563
-314.228164,90,35.273039
-117.539955,47,35.713337
-157.64809,95,36.578126
-129.34772,43,36.971533
-138.975338,81,37.710149
-150.031877,46,38.131164
-136.648782,77,38.831971
-62.858379,29,39.096556
-111.69799,78,39.779356
-116.989631,41,40.152187
-55.612555,34,40.771316
-174.877833,63,41.321116
-107.08275,43,41.703426
-178.231034,55,42.189293
-149.182685,49,42.619077
-103.247648,58,43.120613
-92.112801,30,43.384786
-96.118624,44,43.777755
-127.546748,48,44.202544
-112.898141,68,44.803478
-160.125649,57,45.314155
-138.658972,41,45.679469
-160.75563,44,46.078001
-135.425931,43,46.470166
-101.210075,52,46.941901
-213.008001,106,47.892128
-144.817725,45,48.294477
-215.937494,91,49.118859
-117.298084,34,49.429269
-181.080147,53,49.912375
-151.723875,104,50.831521
-131.465072,81,51.552461
-131.706302,55,52.043586
-104.606314,32,52.336865
-111.531021,80,53.049342
-68.934841,36,53.37109
-97.226549,42,53.750115
-141.924462,64,54.324566
-194.879481,127,55.427914
-86.237863,59,55.956097
-232.650107,109,56.92462
-112.521964,61,57.474654
-94.058526,56,57.965807
-63.929506,48,58.393558
-103.719208,71,59.024429
-125.139255,66,59.620319
-93.907239,81,60.338032
-98.926286,55,60.827519
-92.220289,49,61.251465
-89.037872,54,61.722303
-126.112628,88,62.491797
-95.157204,35,62.797621
-140.747438,64,63.361876
-130.531834,111,64.339986
-114.109144,100,65.212155
-115.196661,99,66.076031
-125.389233,74,66.737152
-92.277182,198,68.507039
-130.938764,51,68.964295
-72.674289,148,70.297705
-119.33471,70,70.924432
-163.195981,64,71.497601
-239.443069,97,72.356511
-94.094789,136,73.56526
-131.964226,95,74.400856
-100.097344,52,74.862024
-91.869026,64,75.426411
-88.267584,35,75.728212
-98.079362,73,76.372678
-83.234104,148,77.668736
-102.158543,80,78.377089
-73.265731,31,78.652905
-65.849488,60,79.177437
-61.839786,65,79.756566
-71.796084,111,80.750085
-86.586701,106,81.703412
-113.274688,46,82.107948
-73.161554,59,82.641408
-76.20638,116,83.694839
-68.600533,46,84.107201
-111.980866,112,85.112883
-53.481873,12,85.452856
-85.430587,21,85.651055
-102.302031,28,85.898361
-129.057802,29,86.154829
-143.176891,44,86.544
-291.756798,203,88.354368
-106.520646,51,88.812585
-133.903098,113,89.805155
-219.015384,143,91.069254
-87.153394,59,91.596237
-95.786742,119,92.660494
-59.583098,45,93.0654
-71.147001,41,93.443897
-72.227022,42,93.814453
-681.671314,391,97.322929
-71.20844,38,97.662093
-129.849742,130,98.833708
-57.858208,30,99.106413
-132.532923,99,100.001423
-90.772447,161,101.439119
-83.865364,52,101.910515
-53.003287,48,102.327227
-55.014079,31,102.599556
-66.062236,34,102.900486
-56.399033,37,103.236819
-233.491096,144,104.501097
-56.706288,38,104.825653
-47.459807,50,105.26267
-49.966105,34,105.566275
-72.154455,29,105.816894
-38.751936,40,106.166249
-52.445498,48,106.576842
-55.450115,74,107.242684
-62.869686,45,107.640122
-65.030739,125,108.744549
-48.431929,40,109.098652
-65.5885,200,110.900068
-48.071701,62,111.452747
-52.937577,55,111.943588
-65.254343,109,112.906522
-54.490507,49,113.351406
-88.962666,119,114.375709
-112.550041,51,114.825471
-64.031057,103,115.72281
-65.684041,51,116.168518
-65.376793,94,116.986862
-63.809471,60,117.505393
-73.188318,219,119.419176
-63.76055,74,120.081347
-62.294894,84,120.828587
-51.841492,136,122.033016
-57.747408,120,123.090013
-84.199069,198,124.897509
-80.229071,47,125.32456
-188.405752,339,128.336512
-49.778436,46,128.73897
-29.887996,128,130.459512
-74.383368,22,130.656202
-86.645548,28,130.907601
-47.166536,126,132.031308
-46.70406,42,132.407341
-53.779803,501,136.905345
-66.022179,66,137.501091
-263.139764,1264,148.693964
-50.981406,339,151.692885
-0.27522,691,157.702408
-56.90176,172,159.193272
-61.919081,85,159.913233
-19.16222,273,162.318664
118.452097,1391,188.856083
-134.866343,52,189.374311
