#{"t_start": 1768398537.5001783, "env_id": "None"}
r,l,t
94.293741,57,1.091009
-352.253083,104,2.47813
-12.507278,42,2.976636
141.757528,54,3.582606
80.513842,84,4.50936
-81.647858,56,5.113305
-94.057957,50,5.642079
15.845075,43,6.093878
-2.921156,37,6.475489
3.266527,59,7.109119
-79.331653,51,7.63697
48.017934,88,8.593233
-51.710831,46,9.12888
-49.737384,42,9.614943
57.238795,44,10.122773
181.831253,55,10.759799
-59.112764,92,11.851406
76.723233,39,12.296652
86.245046,67,13.078999
51.035762,39,13.5327
-569.816625,176,15.665855
126.522198,64,16.383745
23.123758,40,16.830075
37.945515,46,17.353401
48.187268,65,18.099505
106.140937,55,18.731756
66.14533,47,19.254957
291.302539,71,20.06757
6.848332,37,20.499432
101.822241,35,20.912826
-164.446389,35,21.324811
99.323327,48,21.883568
49.672064,34,22.280502
86.806285,52,22.896957
96.91377,36,23.324442
47.131507,42,23.812231
-67.572967,28,24.136061
222.988167,86,25.124621
97.10638,54,25.722157
33.445976,51,26.291502
48.179546,50,26.874952
-66.801234,60,27.585393
-19.843174,59,28.247505
56.097454,40,28.696083
50.569673,45,29.216836
10.890411,90,30.291354
-11.406489,33,30.669616
108.310718,41,31.139878
-610.941771,96,32.301763
103.286102,53,32.909833
158.076073,42,33.377096
-181.73054,52,33.972628
59.187739,31,34.322675
53.821518,46,34.847855
-43.938202,53,35.448787
40.097613,55,36.065723
155.300819,61,36.765065
30.623,58,37.432893
86.66422,52,38.020778
-7.951527,100,39.184819
81.988855,42,39.68003
-67.29031,42,40.180618
-185.335564,59,40.874999
153.617436,59,41.554693
156.370814,90,42.621336
133.886017,62,43.32685
57.426356,54,43.926464
211.563536,116,45.215068
126.777231,112,46.483067
-13.976512,70,47.271467
112.87646,46,47.779246
92.079384,43,48.252429
-19.622185,372,52.651891
152.367171,90,53.678307
167.79713,115,54.987188
-14.175413,44,55.493371
-20.735667,107,56.770419
193.168073,69,57.573617
111.606673,39,58.031162
247.594375,93,59.131846
267.049968,92,60.235106
31.953439,49,60.818105
-2.796753,93,61.899483
314.057499,89,62.903054
103.64493,41,63.375973
160.425278,48,63.941679
-76.853041,82,64.859963
-84.472999,59,65.536919
270.331898,207,67.951379
-1.599586,45,68.465773
-38.643158,120,69.855214
364.031169,125,71.314402
197.208719,51,71.921468
115.260981,37,72.364515
-161.992438,58,73.027172
119.144551,48,73.576453
111.384164,46,74.094241
181.540797,60,74.782077
44.186857,54,75.392671
14.26638,60,76.08313
-413.030724,135,77.67983
-39.805187,57,78.34737
88.519256,32,78.74141
330.419993,125,80.254081
-100.705368,91,81.341234
71.987146,52,82.240385
154.411966,84,83.910069
270.852535,89,85.732416
275.900253,73,87.230498
138.796461,47,88.183609
158.25745,129,90.841441
340.990141,110,92.995087
