#{"t_start": 1758004239.7373414, "env_id": "None"}
r,l,t
-79.219455,7,1.239411
-69.130195,38,1.302616
-159.267936,30,1.381703
-138.235761,87,2.117555
-260.393872,65,2.666085
-31.950838,49,3.08772
-138.148136,45,3.452108
-144.172309,31,3.732604
-266.44247,77,4.373457
-220.924195,66,4.921087
-57.581784,85,5.654788
-301.179734,62,6.166336
-331.662011,81,6.864137
-285.604817,61,7.380137
-288.951318,72,7.986425
-329.760177,79,8.651454
-315.811819,78,9.366888
-306.026933,75,10.035143
-308.608161,74,10.670775
-291.92356,68,11.310158
-291.62725,68,11.959289
-305.463107,70,12.61637
-314.897955,71,13.276818
-314.902566,71,13.920229
-314.983942,71,14.554018
-300.686503,69,15.214909
-308.049981,70,15.857181
-308.401849,70,16.496861
-301.008476,69,17.139414
-138.109749,36,17.438205
-315.566899,53,17.854071
-307.029956,55,18.288407
-319.413705,57,18.781725
-254.925613,44,19.187466
-251.832659,45,19.587437
-297.756803,47,20.015746
-261.76192,44,20.407453
-167.133236,57,20.92105
-227.117807,72,21.578733
-280.487365,88,22.338068
-91.410723,41,22.70621
-129.007369,54,23.162883
-21.923208,114,24.151335
-50.905963,31,24.435913
-82.15497,46,24.837804
-59.508641,24,25.038014
-45.333216,42,25.387728
-103.926389,58,25.921841
-57.001546,19,26.07413
-73.294432,15,26.220061
-62.806017,13,26.320744
-70.267467,23,26.554069
-70.624307,23,26.766893
-62.762383,24,27.00756
-29.517018,34,27.33643
-90.780006,39,27.696037
-100.29,50,28.160151
-118.938303,36,28.469245
-135.945672,83,29.212377
57.886449,67,29.845597
-50.535184,37,30.177129
-283.662421,72,30.804742
-193.320303,56,31.286042
-91.460338,66,31.882248
-52.578198,26,32.124279
-48.123065,27,32.352728
-44.394021,26,32.590051
-71.931341,25,32.827428
-65.616488,29,33.121873
-138.494073,47,33.544901
-75.674164,33,33.845636
-94.998498,36,34.172491
-74.726749,33,34.485178
-96.22499,76,35.186857
-184.331178,93,36.035903
-189.542183,47,36.449354
-114.903806,46,36.887247
-104.444553,41,37.261731
-160.264714,53,37.74736
-343.141895,111,38.749588
-63.476964,17,38.898312
-371.978946,157,40.318675
-140.613182,38,40.650374
-239.081816,80,41.352767
-1674.561012,253,43.516755
-158.497307,33,43.801867
-809.040764,154,45.180543
-159.948952,30,45.481651
-158.947537,33,45.776321
-300.139821,57,46.292714
-113.99664,28,46.561331
-225.014152,69,47.186316
-84.042851,43,47.565226
24.816288,92,48.379528
52.574449,41,48.770781
39.863534,76,49.461861
-221.223976,70,50.073539
-5521.407639,684,56.311033
-72.926917,10,56.403024
-84.729991,19,56.550029
-92.486417,22,56.735481
-70.944854,8,56.79864
-77.454416,8,56.853981
-62.245077,10,56.956565
-88.370882,12,57.054158
-78.593248,8,57.120971
-86.972294,25,57.310259
-76.254586,14,57.421916
-74.68625,21,57.588593
-69.03907,22,57.763291
-105.361628,62,58.274832
-77.139743,29,58.508346
-74.209269,29,58.747773
-94.384006,48,59.120417
-81.418445,67,59.653207
-60.423152,126,60.702448
-5217.988671,1020,69.579001
-66.477868,6,69.626246
-101.829204,27,69.864719
-48.067314,18,70.033113
-47.790439,32,70.331513
2.444149,38,70.646866
-63.792874,5,70.691564
-60.951792,4,70.734108
-61.350199,4,70.770692
-61.545318,4,70.809475
-61.621237,4,70.855281
-61.612437,4,70.886792
-61.614612,4,70.935205
-61.411673,4,70.969425
