Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0627679994949339,-0.120701728364036,0.118390187178668,0,0,0,0.171395163597277,8.15365300587951E-05,-3.8043709313984E-07,-5.60903798702702E-07,0.000195030559061584,-5.55463363232957E-06,0.000139361066214885,0,0,0,0,0,0,package://biped_ab/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/base_link.STL,,Assem2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ll1,0.0171783023443789,-0.0361498271862186,-0.0473719862653818,0,0,0,0.0567619776679607,1.39565566149837E-05,-4.27357374186608E-07,-1.31150725972983E-06,2.15422046399649E-05,-1.04881080911904E-06,1.15720621143436E-05,0,0,0,0,0,0,package://biped_ab/meshes/ll1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/ll1.STL,,Assem3-2,Origin_cont1,Axis_cont1,cont1,revolute,0.110038954635169,-0.0909144176910569,0.115414106258842,0,-0.00545717187650538,0,base_link,0,1,0,5,1.6,-2,2,,,,,,,,
ll2,0.103549079017341,-0.0205394581648996,-0.0281541630568518,0,0,0,0.0795029659020738,3.92910139443189E-05,5.63190934250085E-06,1.7654229543114E-05,4.86462440319264E-05,2.61796913445426E-06,5.77024189169343E-05,0,0,0,0,0,0,package://biped_ab/meshes/ll2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/ll2.STL,,Assem4-3,Origin_cont2,Axis_cont2,cont2,revolute,0.0239999999999984,-0.0324493212037191,-0.0369781242816673,2.32915725064946,1.57079631189374,0.509524754260505,ll1,1,0,0,5,1.6,-2,2,,,,,,,,
ll3,0.140666030643059,0.0270231079667057,0.0500063411660512,0,0,0,0.0795050014476073,2.80908282137304E-05,-2.0873333480242E-07,1.90180306641402E-06,4.96780037376502E-05,5.89589606915827E-06,6.78707430017787E-05,0,0,0,0,0,0,package://biped_ab/meshes/ll3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/ll3.STL,,Assem4-4,Origin_cont3,Axis_cont3,cont3,revolute,0.0895029778776613,0,0.00144799409181519,-3.14159265358979,0.0437737865520778,0,ll2,0,1,0,5,1.6,-2,2,,,,,,,,
ll4,0.0991857622836733,0.0233913899164539,0.0334257415160589,0,0,0,0.144582107490847,0.000251979326186154,-1.75099711930262E-05,-5.97521810663757E-05,0.000225480260642662,-4.32810518299243E-05,9.53838179679248E-05,0,0,0,0,0,0,package://biped_ab/meshes/ll4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://biped_ab/meshes/ll4.STL,,stablefootxx[1].step-1,Origin_cont4,Axis_cont4,cont4,revolute,0.132403980397021,0,0.000947994091815355,0,-0.0441531718405978,0,ll3,0,1,0,5,1.6,-2,2,,,,,,,,
rf1,-0.00755320774709644,0.0350228492921957,-0.0486303315240782,0,0,0,0.0567619776679608,1.38859315558231E-05,2.27971644486845E-07,-1.38554215446545E-06,2.15606807203303E-05,1.00556606883407E-06,1.16242110931389E-05,0,0,0,0,0,0,package://biped_ab/meshes/rf1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/rf1.STL,,Assem3-1,Origin_cont5,Axis_cont5,cont5,revolute,-0.00806104536482806,-0.0909144176910567,0.115414106258843,0,-0.00730289100869343,3.14159265358979,base_link,0,1,0,5,1.6,-2,2,,,,,,,,
rf2,0.11540043179939,-0.0376238350796424,-0.0156001202625212,0,0,0,0.0795039655212341,2.88332222000494E-05,9.39434368903839E-07,5.72776827871448E-06,4.79230445898013E-05,1.37251349707163E-07,6.88825413404463E-05,0,0,0,0,0,0,package://biped_ab/meshes/rf2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/rf2.STL,,Assem4-1,Origin_cont6,Axis_cont6,cont6,revolute,0.0239999999999986,0.0300506787962816,-0.0365370865296178,-1.56981976460534,1.57079630572147,3.11555687140741,rf1,1,0,0,5,1.6,-2,2,,,,,,,,
rf3,0.155250974652241,0.0390486652727043,0.0370894594273884,0,0,0,0.0795050257227758,2.85330989780231E-05,-9.15840785306493E-07,-4.55864326505569E-06,4.79264241482644E-05,2.05884508714622E-07,6.9179924553966E-05,0,0,0,0,0,0,package://biped_ab/meshes/rf3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_ab/meshes/rf3.STL,,Assem4-2,Origin_cont7,Axis_cont7,cont7,revolute,0.08994401562971,0,0.00144799409181527,-3.14159265358979,-0.0624508296366413,0,rf2,0,1,0,5,1.6,-2,2,,,,,,,,
rf4,0.115559425158252,0.0394490692764151,0.0397426131141088,0,0,0,0.144582107490847,0.000271754790212108,4.19476010682333E-07,1.14513658994481E-05,0.000238524687661661,-2.42773506399403E-06,6.25639269229725E-05,0,0,0,0,0,0,package://biped_ab/meshes/rf4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://biped_ab/meshes/rf4.STL,,stablefootxx[1].step-2,Origin_cont8,Axis_cont8,cont8,revolute,0.132403980397019,0,0.000947994091815521,0,-0.0594915261594807,0,rf3,0,1,0,5,1.6,-2,2,,,,,,,,
box,-0.0688677456913595,0.0219477110981247,0.0583312662906894,0,0,0,0.612608964887326,0.000910327254665648,-2.27991350048129E-06,1.60029178866034E-05,0.0012795561204698,-6.09825581298704E-05,0.00185757231514542,0,0,0,0,0,0,package://biped_ab/meshes/box.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://biped_ab/meshes/box.STL,,box_aass-1,Origin_cont5,Axis_fix_f,fix_f,fixed,-0.00806104536482806,-0.0909144176910567,0.115414106258843,0,-0.00730289100869343,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
