Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0567114891561859,-0.149421333987205,0.0849439592220374,0,0,0,0.171395163597277,8.15294272941173E-05,-5.98391970804399E-12,-2.02031529968224E-08,0.000195580300315273,-1.73311691279713E-20,0.000138818427725874,0,0,0,0,0,0,package://biped_urdf_ff/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/base_link.STL,,Assem2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ll1,-0.0331301764718445,0.00604643754613932,-3.68662978805223E-05,0,0,0,0.0590705733476927,1.3308524861968E-05,2.12007467904402E-06,-2.95970560725237E-07,1.45598336886888E-05,1.28835885169357E-06,2.36088365145483E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll1.STL,,Assem3-2,Origin_cont1,Axis_cont1,cont1,revolute,0.11411,-0.1504,0,1.684,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
ll2,0.0747779942153111,-0.0015380803774169,-0.0218633616073591,0,0,0,0.0795049231060893,3.09998801536096E-05,1.35614013922281E-07,1.0693565430683E-05,4.83526085393693E-05,3.04933886709055E-06,6.62869503170479E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll2.STL,,Assem4-3,Origin_cont2,Axis_cont2,cont2,revolute,-0.0065092,0,0.001448,3.1416,0.33619,0,ll1,0,1,0,0,0,0,0,,,,,,,,
ll3,0.0679591418386996,-0.0025267688983088,-0.0649049376822795,0,0,0,0.0795043675969588,3.28803449611899E-05,5.95663063788888E-07,1.33285160279409E-05,4.83673600980289E-05,2.95344731148219E-06,6.43915708182226E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll3.STL,,Assem4-4,Origin_cont3,Axis_cont3,cont3,revolute,0.1324,0,0.00094799,0,0.0053505,0,ll2,0,1,0,0,0,0,0,,,,,,,,
ll4,0.0341316110659375,-2.84381394506095E-05,0.0660571788224024,0,0,0,0.148691958525113,0.000133576095288607,3.32645197858341E-06,2.68401421549814E-05,0.000120549643497903,-7.44971378871517E-06,7.27617764964248E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/ll4.STL,,foot-2,Origin_cont4,Axis_cont4,cont4,revolute,0.1324,0,0.00094799,-3.1416,0.12441,0,ll3,0,1,0,0,0,0,0,,,,,,,,
rf1,-0.0331301764718445,0.00581058927427622,0.00167266805104854,0,0,0,0.0590705733476928,1.3308524861968E-05,2.11733465122801E-06,3.14974907331942E-07,1.45836876795204E-05,-1.36936275263394E-06,2.35849825237168E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf1.STL,,Assem3-1,Origin_cont5,Axis_cont5,cont5,revolute,-0.00068189,-0.1503,0,1.6657,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
rf2,0.0623940392284774,-0.00178578809250587,-0.0466810680014669,0,0,0,0.079502800307503,4.19000267872577E-05,-2.38470559264119E-06,1.94794815008575E-05,4.84070146342394E-05,-2.1759096954969E-06,5.53316546324245E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf2.STL,,Assem4-1,Origin_cont6,Axis_cont6,cont6,revolute,-0.0065092,0,0.001448,3.1416,0.56368,0,rf1,0,1,0,0,0,0,0,,,,,,,,
rf3,0.111733929823043,-0.00408469090397937,0.0446832738160031,0,0,0,0.0795039222090655,6.26132172708374E-05,2.84147603278887E-06,-1.51367364008548E-05,4.84197016667648E-05,-1.29514773944099E-06,3.46058798148801E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf3.STL,,Assem4-2,Origin_cont7,Axis_cont7,cont7,revolute,0.1324,0,0.00094799,0,1.5652,0,rf2,0,1,0,0,0,0,0,,,,,,,,
rf4,0.0859790175079487,-0.00275015617244208,0.0775130401914741,0,0,0,0.148691920517922,0.000107881393728608,-6.21822668131555E-06,4.02229709564655E-05,0.000120439021775147,5.934580748932E-06,9.85669688287998E-05,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/rf4.STL,,foot-1,Origin_cont8,Axis_cont8,cont8,revolute,0.1324,0,0.00094799,0,-0.4873,0,rf3,0,1,0,0,0,0,0,,,,,,,,
box,-0.109733214898333,-0.059064905125655,-0.0423874933094609,0,0,0,0.614519680968721,0.000911441769130836,1.37970050157051E-07,3.86155451540105E-07,0.0012776894908344,2.7621057789539E-06,0.00186826782081066,0,0,0,0,0,0,package://biped_urdf_ff/meshes/box.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://biped_urdf_ff/meshes/box.STL,,box_aass-1,Origin_fix_f,,fix_f,fixed,0.16558,-0.088013,0.18246,0,0,0,base_link,0,0,0,,,,,,,,,,,,
